,TA00119,TA00110,TA00016,TA00282,TA00098,TA00314,TA00313,TA00042,TA00112,TA00297,TA00123,TA00118,TA00393,TA00013,TA00276,TA00005,TA00015,TA00143,TA00304,TA00263,TA00277,TA00279,TA00267,TA00280,TA00310,TA00003,TA00121,TA00126,TA00004,TA00248,TA00309,TA00109,TA00011,TA00308,TA00046,TA00265,TA00049,TA00262,TA00122,TA00311,TA00241,TA00177,TA00312,TA00266,TA00318,TA00391,TA00181,TA00278,TA00275,TA00319,TA00002,TA00268,TA00050,TA00006,TA00302,TA00007,TA00303,TA00115,TA00009,TA00142,TA00045,TA00012,TA00008,TA00047,TA00010
lat,5.1611293,5.6826423,5.5730222,6.5291887,5.6511025,5.8154833,5.6836003,6.22,8.049376,5.6158834,5.9631772,5.6414133,6.6609562,5.46947027,6.4631616,5.80769241,6.664616,6.6844356,6.0383226,5.561,6.8246152,6.7169821,7.044865,6.5379185,5.1165531,5.4468564,5.0532069,5.758029,5.643022,6.0756705,5.6037719,5.5926509,6.98578115,5.9685227,6.302466667,7.996203,6.396666667,7.7402922,5.7786387,5.5571256,5.9594536,5.6270224,6.536621,7.781986,5.6879087,5.7601715,6.6147078,7.3591252,7.7579531,5.7972834,5.1525726,7.945427,6.619158333,5.81129176,6.1078846,7.18825723,5.873005,6.6764708,7.224886,6.1969032,6.406175,6.93689228,7.41300544,6.283841667,7.3896776
lon,-2.6414389,-1.2650179,-0.24447074,0.2804509,-0.1645213,-0.1944419,-0.0494682,-1.359444444,0.191168,-1.5797063,-1.7923338,-0.0118703,-1.5810708,-1.90846766,-2.3042364,-2.42643302,-3.097246,-1.5686934,-0.8152161,-0.218,-1.8682505,-1.5916858,-1.404366,-0.7591053,-1.2890207,-2.13392852,-2.8772937,-0.221716,-2.26681728,0.1962613,-0.6353713,-0.9964172,-2.3961548,-0.9940477,-1.520297222,-0.8821018,-1.282597222,-0.9716813,-2.090195,-1.6933381,-0.0945284,-0.2314436,-1.432402,-0.212638,-0.1676827,-0.2312227,-1.2272438,-2.3298696,-2.6490646,-0.3463246,-1.88152258,-2.692886,-1.052630556,-2.82561693,-0.2642101,-2.09751897,-0.6752834,0.3277943,-2.7822522,-1.682612,-0.146602778,-2.3538655,-2.47606859,-1.417355556,-2.18599491
